file,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,label
LEEC24__0__20161202_184100_aa_c0_v0.png,0,0.44519415,1.5262735,1.0382613,0,0.65284604,0.21240044,0.46469223,0,0.38160565,0,0.084427774,0,0,0,0.9393294,0,0.96906555,1.3727323,0.09060768,0,0.54318815,0.66175175,0,0.60771716,0,0.9872581,0.34795657,0.96257746,0,0.28986305,1.1136693,0,1.1412477,0.07786343,0,0.7564834,0,0,0,0.4659649,0.35796303,0.81432396,0,0,0,0.5414298,0,0,0,0.45697385,0.91911864,0.735458,1.5182767,0,0.2235927,0.23808454,0.30694416,0,0.13529176,0,0.6382074,0,0,0.83483595,0.42336318,0,0,0,0,0.012647785,0.021676771,0.62597513,0,0.38562155,0.032966442,0.025996868,2.1853065,1.5552082,0.02148236,0,0.18586737,0,0.7645447,0,0.11519806,0,0,1.3327439,0.51273817,0.40507513,0.20285793,0.29226133,0,0,0,1.2927988,1.7014852,1.3474476,0,0.61075515,0.52103597,0.3133235,0,0,0,0,0,0.04865264,0,0.11283851,0,0,0,0,1.6470563,1.0831293,0.7430499,0.19412246,0.5952544,0.26574486,0.73970693,0,0,0.6282897,1.4630517,0,0.72099435,phys_cuvi
LEEC24__0__20161202_184100_aa_c0_v1.png,0,0.4452327,1.5263548,1.0383132,0,0.65290517,0.21239328,0.46465588,0,0.3815935,0,0.08436811,0,0,0,0.93931717,0,0.9690567,1.3727441,0.090521015,0,0.5432185,0.66178733,0,0.60776234,0,0.9872506,0.34795758,0.96263945,0,0.28984815,1.1137465,0,1.1413338,0.07782427,0,0.75654423,0,0,0,0.46599114,0.35798043,0.81436145,0,0,0,0.5414808,0,0,0,0.4569922,0.91916656,0.735476,1.5182661,0,0.2235789,0.23806618,0.306942,0,0.13526317,0,0.63821894,0,0,0.8347725,0.42339548,0,0,0,0,0.012600191,0.021623276,0.62602276,0,0.3855851,0.032923706,0.025933702,2.1853576,1.5552782,0.021410879,0,0.18585342,0,0.7646054,0,0.11514448,0,0,1.3327808,0.5127664,0.40509215,0.20282741,0.29225895,0,0,0,1.2928903,1.7015394,1.3474703,0,0.6107989,0.5210492,0.31328788,0,0,0,0,0,0.0486032,0,0.112757266,0,0,0,0,1.647057,1.0832042,0.74311036,0.19409859,0.595231,0.26574767,0.7397745,0,0,0.62832737,1.4631459,0,0.7210436,phys_cuvi
LEEC24__0__20161202_184100_aa_c0_v2.png,0,0.37516516,1.4538282,1.0061613,0,0.5710595,0.20919144,0.5624237,0,0.46948904,0,0.20502323,0,0,0,0.9839507,0,1.0383433,1.4064816,0.20955883,0,0.5329095,0.6299136,0,0.53756815,0,1.0267187,0.3332464,0.9368896,0,0.31455004,1.0269458,0,1.0444583,0.120160185,0,0.6866057,0,0,0,0.44804418,0.340398,0.7629266,0,0,0,0.49779883,0,0,0,0.43483406,0.8608422,0.730516,1.5957288,0,0.2762532,0.3052183,0.3067802,0,0.20643178,0,0.6595806,0,0,0.97006273,0.39259586,0,0,0,0,0.0914982,0.12355592,0.5531037,0.015463062,0.46301946,0.09866018,0.12802525,2.196193,1.4939058,0.15254225,0,0.21746787,0,0.73357815,0,0.21109913,0,0.027945776,1.3252373,0.49807018,0.4127278,0.24969082,0.32223505,0,0.03308948,0,1.1998506,1.6926118,1.3611057,0,0.5757517,0.5537537,0.3698185,0,0,0,0,0,0.12027313,0,0.27722847,0.06860108,0,0,0,1.7021662,0.99557304,0.6633185,0.272321,0.64971656,0.25604323,0.6738984,0,0,0.56860083,1.3559551,0,0.64107007,phys_cuvi
LEEC24__0__20161204_071600_aa_c0_v0.png,0,0.02241652,0.24431634,0.07794592,0,0.066755936,0,1.1819234,0,0.67776096,0,0.9359584,0,0,0,1.101505,0,1.2747244,1.2690859,1.3336242,0,0.051198605,0.12850158,0,0.033959407,0.053856734,1.4496696,0.16607335,0.37605134,0,0.73604614,0.20505823,0,0,0.5874297,0,0,0,0.08842463,0,0.15768059,0,0.211321,0,0,0,0.012812494,0,0,0,0.33701906,0.11414983,0.41597468,1.711345,0,0.3649024,0.72166467,0.33147374,0,0.46948707,0,0.86192745,0,0,1.9965,0.14685342,0,0,0,0,0.6902796,0.9199074,0,0.5534568,0.7970034,0.7078897,1.00492,1.6696105,0.6939627,1.1425595,0,0.27631146,0.118768856,0.01000713,0,0.9176946,0,1.1069685,1.0781194,0,0.022802843,0.81674963,0.37423968,0,0.5760616,0,0.095886044,1.1696526,1.2276244,1.1599015,0,0.5633567,1.0136673,0,0,0,0,0.6916884,0.7670558,0,1.3245187,1.0703398,0,0,0,1.7647821,0.053923216,0,0.9887542,0.765847,0.17748152,0,0,0,0.19881907,0.12879403,0,0.033375196,vire_chiv
LEEC24__0__20161205_063100_aa_c0_v0.png,0,0,0.17517555,0.010320726,0,0.012094127,0,1.2119417,0,0.7272949,0,0.9702165,0,0,0,1.1544548,0,1.3214345,1.2621121,1.3863823,0,0.030770263,0.122913636,0,0.021686126,0.030539038,1.4478244,0.16223922,0.32618213,0,0.73489654,0.15415926,0,0,0.6189726,0,0,0,0.10327638,0,0.13719282,0.0028362954,0.18485421,0,0,0,0.058998868,0,0,0,0.293504,0.07716464,0.47790605,1.7213466,0,0.36087742,0.7785447,0.3224768,0,0.49552158,0,0.8477257,0,0,2.0874012,0.14095679,0,0,0,0,0.7299873,0.957453,0,0.6174596,0.7521168,0.7321435,1.0457867,1.6056212,0.6545,1.1603161,0,0.34051108,0.10871337,0,0,0.9396921,0,1.1616292,1.0404775,0,0.041436568,0.8590996,0.36215827,0,0.53889585,0,0.0056627598,1.0877857,1.2383103,1.1850184,0,0.5172502,0.98213196,0,0,0,0,0.69994056,0.7739733,0,1.3615501,1.1359463,0,0,0,1.7240729,0,0,0.9860409,0.80473655,0.11042995,0,0,0,0.21545811,0.100528345,0,0.00047676894,vire_chiv
LEEC24__0__20161205_072900_aa_c0_v0.png,0,0,0.034938876,0,0,0,0.009078503,1.2689884,0,0.7069873,0,1.1034502,0,0,0,1.1562109,0,1.2962105,1.2581139,1.5686327,0,0,0.05428662,0,0,0.10508931,1.4613365,0.16244575,0.20986597,0,0.7412243,0,0,0,0.6984892,0,0,0.01320152,0.2166395,0,0.09156417,0,0.12217569,0,0,0,0,0,0,0,0.261334,0,0.4266223,1.7292098,0,0.38304773,0.77275544,0.33002344,0,0.53243476,0,0.80162066,0,0,2.1990376,0.07018592,0,0,0,0,0.80336016,1.0597765,0,0.7117444,0.8678646,0.8222741,1.1593316,1.5249361,0.5491362,1.3015997,0,0.37360612,0.06029703,0,0,1.0501387,0,1.308546,0.95067954,0,0,0.9343128,0.36023775,0,0.6072279,0,0,1.0082892,1.1733441,1.3309634,0,0.47251284,1.0883595,0,0,0,0,0.78485614,0.8878493,0,1.5079684,1.2751305,0,0,0,1.7316414,0,0,1.012667,0.851114,0.11678449,0,0,0,0.13947892,0,0,0,vire_chiv
LEEC24__0__20161214_071600_aa_c1_v0.png,0,0.006804634,0.47019625,0.31068152,0,0.07375939,0,1.0657663,0,0.60784465,0,0.84182584,0,0,0,1.0680124,0,1.2149563,1.3115733,1.1627529,0,0.18769911,0.1689954,0,0.075113304,0.008469345,1.391166,0.14651293,0.45539072,0,0.6249057,0.28647688,0,0.11358433,0.54074126,0,0.059890583,0,0.020356812,0,0.17255613,0,0.3277837,0,0,0,0,0.02151961,0,0,0.39379668,0.26562154,0.38854742,1.7649343,0,0.40826094,0.6553335,0.4057884,0,0.41715536,0,0.78107125,0,0,1.704523,0.12757936,0,0,0,0,0.6697313,0.7583478,0.07841599,0.4502498,0.83284545,0.5550629,0.87815446,1.7573352,0.7884856,1.0151584,0,0.20683846,0,0.11276336,0,0.8358947,0,0.90899223,1.0910227,0.09644521,0.039629698,0.6679218,0.41306642,0,0.47501048,0,0.21749522,1.3088077,1.1516974,1.0163641,0.012562087,0.5498958,0.9174595,0,0,0,0,0.617329,0.64893585,0,1.2510805,0.9509774,0,0,0,1.7942016,0.20137575,0.025643034,0.8362062,0.7506842,0.25144893,0,0,0,0.22042178,0.31779784,0,0.09020976,vire_chiv
LEEC24__0__20161229_080100_br_c0_v0.png,0,0,0.19951352,0.13884094,0,0,0,1.143204,0,0.6324577,0,0.99295527,0,0,0,1.044584,0,1.1875073,1.2318586,1.3539513,0,0.106411554,0.05805622,0,0,0.08874774,1.3124783,0.13379437,0.26721877,0,0.6219437,0.06569325,0,0,0.6260833,0,0,0,0.15076873,0,0.10609714,0,0.1800243,0,0,0,0,0,0,0,0.27186966,0.10282122,0.38693935,1.6778939,0,0.40163615,0.6813198,0.3630267,0,0.50034297,0,0.7066285,0,0,1.88225,0.05312219,0,0,0,0,0.76772296,0.9132758,0,0.56402373,0.9129491,0.64657855,1.0041771,1.5522156,0.57176405,1.1869947,0,0.30623078,0,0,0,0.9540486,0,1.0970225,0.89554036,0.014002211,0.025432868,0.75537777,0.36999723,0,0.5499356,0,0,1.0806215,1.0450578,1.1286991,0,0.47990996,0.96944606,0,0,0,0,0.7059658,0.76625127,0,1.4202237,1.1169236,0,0,0,1.6728636,0.0025521775,0,0.846663,0.84660125,0.16865677,0,0,0,0.12960102,0.0436935,0,0,vire_chiv
LEEC24__0__20161230_081400_br_c0_v0.png,0,0,0.08700711,0,0,0,0.15790296,1.2157223,0,0.6979157,0,1.1517406,0,0,0,1.1541159,0,1.2471939,1.2936416,1.5442708,0,0.0554501,0.03202316,0,0,0.09186411,1.3427963,0.14710099,0.1409188,0,0.6329768,0,0,0,0.7522515,0,0,0.035017543,0.23396243,0,0.017411895,0.036210604,0.13508227,0,0,0,0,0,0,0,0.173726,0.0056168367,0.50627565,1.7080169,0,0.3863675,0.71723586,0.35639882,0,0.54887635,0,0.6561956,0,0,2.158054,0.020451214,0,0,0,0,0.8391784,1.0148865,0,0.7203192,0.95348126,0.78460056,1.1017883,1.4733913,0.5439318,1.2849005,0,0.43089065,0,0,0,1.0671864,0,1.2739794,0.8223764,0,0.03353727,0.89370704,0.3443171,0,0.5298418,0,0,0.950195,1.0753543,1.2246546,0,0.3818161,1.0340148,0,0,0,0,0.7410281,0.86526036,0,1.5216951,1.3181792,0,0,0,1.677377,0,0,0.8470146,0.9726749,0.08149967,0,0,0,0.124440834,0,0,0,vire_chiv
LEEC24__0__20170101_063100_br_c0_v0.png,0,0,0,0,0,0,0.17770064,1.2293537,0,0.47627488,0,1.2739892,0,0,0,1.16279,0,1.1430173,1.2263001,1.8226954,0,0,0,0,0,0.28485864,1.4123837,0.21218207,0,0,0.6627255,0,0,0,0.88933283,0,0,0.1543577,0.43224683,0,0,0,0.07026771,0,0,0,0,0,0,0,0.1855653,0,0.43071958,1.7041056,0,0.36824828,0.645336,0.35718334,0,0.5447107,0,0.578158,0,0,2.2559426,0,0,0,0,0,0.9458814,1.1465354,0,0.7557464,1.1115233,0.8290515,1.3023562,1.3125324,0.3339013,1.4903938,0,0.42668468,0,0,0,1.148736,0,1.4121629,0.70033526,0,0,1.0161388,0.35837707,0,0.5860964,0,0,0.863744,0.9326102,1.4544058,0,0.2846867,1.2118164,0,0.03616887,0,0,0.9016125,1.0416038,0,1.7120572,1.484285,0,0,0,1.713633,0,0,0.80908996,1.0206442,0.15468195,0,0,0,0.081339136,0,0,0,vire_chiv
