file,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,label
LEEC36__0__20161117_200100_ma_c04_v03.png,0,4.8296156,0,5.6007857,0,1.2123712,0,2.529535,0,1.2452478,7.762397,7.5229597,0.23025814,3.6430554,6.385899,1.2660586,0,0,3.6621253,4.1030807,0,0,3.6717167,0,4.592021,0,5.3989377,4.7489305,3.9850354,0,2.3695822,2.06012,0,3.0042865,0,6.118776,4.3767853,0,0,0,0,0,0,0,0.34419507,0,2.022538,2.494973,0,0,0,4.536292,0,0,5.2918763,1.4346374,0,3.4995794,0,3.2177904,2.3607266,0,0.63480556,0,0,1.2188773,2.381612,0,0,0,0,0,4.4297614,0,0,0,0,9.099898,2.0486364,0,0,0,9.130158,0,7.9091744,0,0.3287217,0,1.1807407,4.5481763,1.9345204,0,0,0,2.7150636,0,1.0691643,2.1237726,4.994479,0,0.78307045,4.7878566,0,3.281666,2.9343975,0,0,0,0,3.047281,0,0.88229954,1.3238001,0,2.5160587,5.0278735,0.7342576,0,0,0,0,0.81485784,0,0,0,8.83779,0,0,isch_guen
LEEC36__0__20161117_200100_ma_c04_v04.png,0,4.150518,0,5.416015,0,0.82527184,0,2.7384362,0,1.1076393,7.3450074,6.6100316,0.24074307,2.975636,4.9686465,0.8337103,0,0,2.6353967,3.8414333,0,0,3.7809994,0,3.556341,0,5.5121007,3.817529,3.2941546,0,1.4951426,2.0663755,0,3.0641305,0,4.854565,2.9490113,0,0,0,0,0,0,0,0.38727158,0,1.9707259,1.6055657,0,0,0,4.341705,0,0,3.953015,1.6500764,0,2.9693332,0,3.2050376,1.9297662,0,0.4580251,0,0,1.0402837,1.7432811,0,0,0,0,0,3.6157067,0,0,0,0,7.7480664,2.5436828,0,0,0,8.309531,0.020895122,6.643971,0,0,0,1.4004545,3.6794388,2.2131991,0,0,0,2.7833505,0,0.96887285,1.80918,5.141673,0,0.91181374,5.0892253,0,3.144934,2.0332043,0,0,0,0,2.3980043,0,0.9512688,0.9169185,0,2.0640032,3.734388,0.19388543,0,0,0,0,0.9017302,0,0,0,8.112236,0,0,isch_guen
LEEC36__0__20161117_200100_ma_c04_v05.png,0,4.109664,0,5.4224687,0,0.8026669,0,2.756383,0,1.0593526,7.333062,6.614598,0.24094835,2.9783118,4.937201,0.8146223,0,0,2.5907722,3.8572795,0,0,3.7785416,0,3.4999099,0,5.5919566,3.7645433,3.2775686,0,1.4015346,2.0465093,0,3.0864866,0,4.811935,2.861467,0,0,0,0,0,0,0,0.4513324,0,1.9774133,1.5847639,0,0,0,4.3169003,0,0,3.961142,1.6608042,0,2.960237,0,3.2050626,1.9214027,0,0.45446146,0,0,1.0714092,1.678708,0,0,0,0,0,3.638073,0,0,0,0,7.674964,2.545448,0,0,0,8.366459,0.03595602,6.6259255,0,0,0,1.4394401,3.6680942,2.261033,0,0,0,2.7739587,0,1.0056432,1.8290415,5.175584,0,0.91043735,5.1104746,0,3.097329,1.9573268,0,0,0,0,2.362152,0,1.0430838,0.85823345,0,2.0653956,3.7168858,0.20061027,0,0,0,0,0.9028876,0,0,0,8.125069,0,0,isch_guen
LEEC36__0__20161121_183100_aa_c0_v0.png,0,5.063606,1.6933495,3.6638916,0,1.5340321,0,2.2107868,0,1.7945224,6.54761,5.5356073,0.1282889,2.3620372,4.4147654,1.9359244,0,0,3.0395305,2.4482558,0,0,2.8586009,0,4.524549,0,3.4330995,4.5117226,2.654741,0,1.5522996,1.9790053,0,4.128612,0,2.1964357,4.590665,0,0,0,0,0,0,2.9634924,0,0,4.171385,2.332381,0,0,0,3.7114208,0.3743312,0,4.4806156,1.4850836,0,2.603279,0,2.6904576,0.08756982,0,0.8414644,0,0,1.2224157,0,0,0,0,0,0,0.817654,0,0,0,0,8.164605,3.3005083,0,0,0,6.011134,0,4.824245,0,0,0,1.3226439,2.3961513,1.5015198,0,0,0,1.8826648,0,3.021222,2.795074,5.142383,0,0.15086237,3.7737408,0,0.5656297,0,0,0,0,0,0.7647223,0,0.81232893,1.9925808,0,0.5245295,2.5497918,0.336964,1.7620311,0,0,0,0.6446772,0,0,0,6.5035405,0,1.3541398,boan_albo
LEEC36__0__20161121_183100_aa_c0_v1.png,0,5.0636177,1.6933681,3.66388,0,1.534101,0,2.210785,0,1.7945733,6.547621,5.5356307,0.12827364,2.3619702,4.414741,1.9359311,0,0,3.0395453,2.4482875,0,0,2.858573,0,4.5245914,0,3.4330707,4.5117736,2.6547005,0,1.5523242,1.9790335,0,4.1286144,0,2.1964757,4.590658,0,0,0,0,0,0,2.963516,0,0,4.171428,2.3324213,0,0,0,3.711453,0.37434158,0,4.480602,1.4850408,0,2.6032429,0,2.6905198,0.08757715,0,0.841468,0,0,1.2224014,0,0,0,0,0,0,0.8176906,0,0,0,0,8.1646185,3.3005,0,0,0,6.011138,0,4.824246,0,0,0,1.3226354,2.3961895,1.5014961,0,0,0,1.8826615,0,3.0212517,2.795052,5.1424303,0,0.1508154,3.7737486,0,0.5655832,0,0,0,0,0,0.7647276,0,0.8122989,1.9926096,0,0.52450234,2.5497584,0.33695447,1.7620802,0,0,0,0.644695,0,0,0,6.503595,0,1.3540908,boan_albo
LEEC36__0__20161121_183100_aa_c0_v2.png,0,4.507059,1.5270838,3.1882994,0,1.5203464,0,1.7910347,0,1.7067188,6.1880736,5.0211935,0,1.9880271,3.6476042,1.7669331,0,0,2.4852355,2.6076994,0,0,2.6607819,0,4.0890627,0,3.3473425,4.043556,2.310299,0,1.339141,1.8322834,0,3.9185817,0,2.0561497,3.9716852,0,0,0,0,0,0,2.9193778,0,0,3.835282,2.0011694,0,0,0,3.5418887,0.8391297,0,3.682543,1.4449409,0,2.175047,0,2.4554582,0,0,0.61737025,0,0,1.2164655,0,0,0,0,0,0,0.783026,0,0,0,0,7.3400674,3.2075255,0,0,0.28582725,5.445791,0,4.3901467,0,0,0,1.2317504,2.2176313,1.3732289,0,0,0,1.7948552,0,3.1215394,2.5787916,5.3072324,0,0.054966237,3.5865152,0,0.3562689,0,0,0,0,0,0.6339317,0,0.7697922,1.8293531,0,0.42030007,1.8889738,0.046735153,2.094208,0,0,0,0.5260222,0,0,0,5.7461324,0,1.1910877,boan_albo
LEEC36__0__20161121_200100_aa_c0_v0.png,0,6.7452025,4.5582027,5.1947603,0,2.6864183,0,2.7687674,0,1.4915576,6.7876143,8.143426,0,5.021521,6.328089,4.495083,0,0,6.494001,3.453559,0,0,6.4766984,0,6.8668823,0,2.866369,6.5312095,4.5699644,0,2.0171459,1.7488084,0,5.826218,0,3.9510338,6.6631603,0,0,0,0,0,0,2.8570375,0,0,5.301015,4.0262938,0,0,0,3.849665,0.6631706,0,6.863861,2.2426777,0,4.9622893,1.1838765,2.6017601,1.8097471,0,3.0512843,0.16898806,0,2.7270925,0,0,0,0,0,0,1.7377537,0,0,0.014635167,0,9.856106,2.93134,0,0,0,8.626497,2.0444522,6.9182606,0,0,0,3.0326371,3.713273,0.57532114,0,0,0,3.1455336,0,3.1074035,1.9118814,4.8790526,0,1.9055227,5.4268417,0,2.6278775,0,0,0,0,0,0.9635254,0,0.17022432,3.5839696,0,0,4.0482593,2.940776,3.1659136,0,0,0,1.7963781,0,0,0,7.535433,0.47869807,1.4530276,dend_minu
LEEC36__0__20161121_200100_aa_c0_v1.png,0,6.745181,4.5581894,5.194759,0,2.686383,0,2.7687588,0,1.4915253,6.787618,8.143423,0,5.0215487,6.3280845,4.4950695,0,0,6.493983,3.453554,0,0,6.476713,0,6.8668633,0,2.8664072,6.531168,4.56999,0,2.0171301,1.7487893,0,5.826209,0,3.951044,6.6631618,0,0,0,0,0,0,2.8570101,0,0,5.3009806,4.0262785,0,0,0,3.8496423,0.6631658,0,6.8638625,2.2426918,0,4.9623127,1.1838804,2.6017292,1.8097532,0,3.0512743,0.16898604,0,2.727101,0,0,0,0,0,0,1.737752,0,0,0.014648161,0,9.856087,2.9313374,0,0,0,8.626493,2.0444598,6.9182763,0,0,0,3.0326347,3.7132726,0.5753202,0,0,0,3.145537,0,3.1073847,1.9118865,4.879034,0,1.905552,5.4268303,0,2.627897,0,0,0,0,0,0.96351933,0,0.17024244,3.5839515,0,0,4.048268,2.9407804,3.1658802,0,0,0,1.7963574,0,0,0,7.5354066,0.47871548,1.453041,dend_minu
LEEC36__0__20161121_200100_aa_c0_v2.png,0,6.282498,4.2040157,5.1619873,0,2.4216347,0,2.8462276,0,1.610121,6.9706736,7.768836,0,4.583354,5.183588,3.8781025,0,0,5.6391463,3.4868677,0,0,6.595422,0,6.321791,0,3.6047037,5.6333594,4.174044,0,1.6255382,1.7685208,0,5.5883904,0,3.8374767,5.69759,0,0,0,0,0,0,2.1767044,0,0,4.8585987,3.4000118,0,0,0,3.8358703,1.2014582,0,5.710996,2.29595,0,4.582139,0.25628412,2.4708922,1.6330508,0,2.724646,0.08830531,0,2.457567,0,0,0,0,0,0,1.6704507,0,0,0.15434332,0,9.048226,3.2582486,0,0,0,8.235818,1.9310229,6.7355394,0,0,0,3.1132224,3.2785752,0.7033281,0,0,0,3.395146,0,3.012835,1.6765037,5.332276,0,1.865008,5.677344,0,2.77446,0,0,0,0,0,0.64164174,0,0.07703985,3.1958766,0,0,3.0994742,2.1321332,3.3497205,0,0,0,1.4981376,0,0,0,7.093773,0.2741037,1.3348107,dend_minu
LEEC36__0__20161121_200100_aa_c0_v3.png,0,6.9730506,4.5372763,5.175836,0,2.80985,0,2.5432053,0,1.4501373,6.969401,8.47136,0,5.325759,6.838319,4.564893,0,0,6.8706274,3.5750403,0,0,6.4386787,0,7.215012,0,2.8836296,6.8080144,4.8789487,0,2.2906885,1.6133027,0,5.750733,0,4.5411997,7.2614985,0,0,0,0,0,0,3.0216172,0,0,5.1279907,4.3031273,0,0,0,3.8362913,0.33666942,0,7.3867087,2.1902912,0,5.182767,1.66743,2.4637556,1.889797,0,2.9750056,0.16181667,0,2.8563235,0,0,0,0,0,0,2.0601668,0,0,0.01869794,0,10.298381,2.7012079,0,0,0,8.895122,1.9864609,7.533504,0,0,0,2.8916922,4.053662,0.38938835,0,0,0,3.1228914,0,3.2252185,2.0917592,4.800856,0,1.9012433,5.2389803,0,2.6749387,0,0,0,0,0,1.194656,0,0.16259445,3.7730713,0,0.18587118,4.5310574,3.1848433,3.068011,0,0,0,1.672088,0,0,0,7.650996,0.5794913,1.5954024,dend_minu
